Index,Word,Meaning
106,exclamation marks,ünlem işareti
*107,row,"sıra,dizi"
*108,reinforced,"desteklenmiş,kuvvetlendirilmiş"
*109,leather,deri
*110,preserve,"muhafaza etmek,korumak"
*111,decay,"çürük,çürümek"
112,asteriks,yıldız işareti
113,execute,"yapmak,emir komutu ile yapmak,idam etmek"
*114,expression,"anlatım,ifade,söz"
115,constuctor,yapı
116,increment,"artıs,artma"
117,annual,yıllık
118,decrement,azalıs
*119,reductıon,"indirme,eksiltme,azaltma"
*120,iterable,yinelenebilir
121,produce,"üretim,imal etmek"
122,existence,"varlık,varolus"
123,overwhelm,"bogmak,basmak,istila etmek"
*124,concatenate,"birlestirmek,baglamak"
125,infinite,sonsuz
*126,humbling,"asagılama,asagılayıcı,alcakgonullu"
127,majority,cogunluk
*128,approve,onaylamak
*129,comprehension,"anlama,kavrama"
*130,clause,"fıkra,antlasma,kosul"
*131,constituion,anayasa
132,principle,"prensip,ilke"
*133,justice,"adalet,"
134,suffer,acı cekmek
*135,redundant,"lüzümsuz,gereksiz"
*136,scope,"faaliyet alanı,kapsam alanı"
137,debug,hata ayıklama
138,debug console,hata ayıklama konsolu
139,odd,"sıra dısı,normal olmayan"
*140,encounter,"karsılasma,rastlama"
141,delve,"arastırmak,irdelemek,arayıp taramak"
142,cover,"kaplamak,korumak"
143,hillsides,yamac
144,sloping,eğimli
145,horizontal,pararel
146,horizon,ufuk
147,bottom,"alt,dip"
148,octal,"sekizli,sekiz tabanındakı sayı sıstemı"
*149,quantity,nicelik
150,colon,iki nokta
151,exist,"varlık,var olmak,mevcut olmak"
*152,proverty,yoksulluk
*153,union,"birleşme,birlik,kavusma"
*154,debate,"cekişme,tartısma"
155,recap,özet
156,sign-up,kayıt olmak
157,sign-in,giriş yapmak
158,mainboard,anakart
159,processor,işlemci
160,perform,"rol yapmak,bir seyi yapmak"
*161,assembler,derleyici
*162,compiler,cevirici
*163,interpreter,"yorumlayıcı,tercuman"
164,fundamental,"temel,kok,esas"
*165,treat,davranmak
*166,behave,davranmak
167,extensions,uzantılar
168,hyphen,"kısa cizgi,tire"
169,dash,tire
170,slash,slash
*171,markup,"işaretleme,fiyat artısı"
*172,annotate,notlar eklemek
*173,relevant,konuyla ilgili
*174,consist,olusmak
175,validate,gecerli
*176,semantic,anlamsal
*177,determine,"belirlemek,saptamak,kararlastırmak"
178,influence,"etki,tesir"
179,visulation,sanal goruntuleme
*180,width,"genişlik,en"
181,height,uzunluk
*182,inspect,"teftiş etmek,denetlemek"
183,inspector,dedektif
*184,root,"koken,kok"
*185,rely,"guvenmek,dayanmak"
186,case sensitive,buyuk kucuk harf duyarlılıgı
*187,demand,"talep,ragbet"
*188,provide,"sağlamak,temin etmek"
*189,external,"dış,dış kısım"
*190,violation,"ihlal,saygısızlık etme,ihlal etme"
191,quote,"alıntı yapmak,tırnak işareti"
192,tooltip,"arac bilgisi,arac ipucu,bilgi cubugu"
*193,cursor,imleç
194,arrow,ok
195,engage,nişanlanmak
196,frame,cerceve
197,border,"kenar,sınır,pervaz"
*198,wisdom,"akıl,bilgelik,hikmet"
199,gain,kazanc
*200,conclusion,"sonuc,karar"
201,essay,"deneme,makale,yazı"
*202,species,"canlı türü,tür,"
*203,endangered,"tehlikede,nesli tukenmekte olan"
*204,abuse,"suistimal,taciz,kotuye kullanma"
*205,morally,"ahlaken,ahlakca"
206,velocity,hız
207,speed,sürat
*208,established,"yerlesik,belirlenmiş,kurulu,kabul gormus"
*209,approximate,"yaklasık,benzemek,yakın"
210,heal,iyilesmek
211,wound,yara
*212,flesh,"beden,et,etli kısım"
213,noble,"soylu,asil"
*214,collaboration,işbirliği
215,contribute,"katkı yapmak,katkıda bulunmak"
*216,encouragement,"teşvik,teşvik etmek"
217,fundamentally,"esasen,temelde"
218,extended,"genişletilmis,geniş,uzun,uzun ve detaylı"
219,applause,alkıs
*220,pounce,"saldırı,saldırmak,aniden atılma,hamle yapma"
*221,fabuolus,"harika,cok guzel"
*222,accuracy,"dogruluk,hassasiyet"
*223,belief,"inanma,inanc"
*224,attiude,"tutum,tavır,davranıs"
*225,reinforce,"takviye etmek,desteklemek"
226,alongside,"yanına,yan yana,birlikte"
227,workflow,iş akısı
228,rapid,"hızlı,ani"
*229,accusation,"itham,suclama"
230,although,ragmen
231,wrap,"sarmak,örtü"
*232,demonstrate,"göstermek,kanıtlamak,ispatlamak"
*233,aspect,"taraf,yön"
*234,indicate,"işaret etmek,belirtmek,göstermek"
*235,render,"hale getirmek,kılmak"
236,underscore,alt tre
237,wizard,sihirbaz
238,conversion,dönüşüm
239,associate,"arkadas,ortak,arkadaslık etmek"
*240,evaluate,"degerlendırmek,ölçmek"
241,substraction,cıkarma işlemi
242,addition,"toplama işlemi,ekleme"
243,multiplication,carpma işlemi
244,extend,"uzatma,genişletme"
245,beforehand,"önceden,önce,pesinen"
246,chain,"zincir,kolye"
247,convivial,"keyifli,şen"
*248,versatile,"cok yönlü,cok amaclı"
249,executable,",yapılabılır,uygulanabilir,calıstırılabılır"
250,contribute,"katkı yapmak,katkıda buunmak"
251,compromise,
*252,occasional,"ara sıra,tesadüfü,rastgele"
*253,enterprise,"girişim,cesaert,işetme,kurulus"
*254,commercial,"ticari,reklam"
255,semi colon,noktalı virgul
256,motherboard,anakart
*257,regulate,"düzenlemek,düzene sokmak"
*258,strictly,"kessinlikle,tam anlamıyla"
*259,enforce,"uygulamak,zorlamak"
*260,urban,"kentsel,sehir"
261,circiut board,devre kartı
262,seldom,"nadiren,kırk yılda bir"
*263,abbreviate,"kısaltmak,sadelestirmek,kırpmak"
264,logic,mantık
265,encourage,"cesaretlendirmek,yüreklenmdirmek"
*266,recreation,"boş zaman etkinliği,eglence,hosca vakit gecirme"
267,inability,yetersizlik
*268,lack,"yoksunluk,yetersizlik"
269,ambition,"hırs,azim"
*270,wealth,"zenginlik,servet"
*271,accumulate,"biriktirmek,toplamak"
*272,tend,eğiliminde olmak
*273,proportion,"orantı,oran"
*274,intention,"maksat,niyet"
*275,tension,tansiyon
276,meme,"esprili görsel,viral"
277,introvorted,içe dönük
278,extroverted,dışa dönük
279,fraud,"sahtekarlık,dolandırıcılık"
*280,eliminate,"elemek,ortadan kaldırmak,yok etmek"
*281,humour,"mizah,espri"
282,uncover,"ortaya cıkarmak,ortusunu kaldırmak"
283,rejection,"reddetme,ret"
284,fair enough,yeterince makul
285,guarantee,garanti etmek
*286,apparently,görünüşe bakılırsa
287,obey,"uymak,itaat etmek"
288,motion,hareket
289,register,kayıt olmak
*290,syllabus,"müfredat,ders programı"
*291,compromise,"anlaşma,uzlasma"
*292,craft,"zanaat,el sanatı"
*293,rot,"çürümek,çürük"
294,administration,"yönetim,idare"
295,agency,"acente,ajans"
*296,attorney,avukat
297,budget,bütce
298,candidate,aday
*299,commit,"suc işlemek,söz vermek"
*300,conduct,yönetmek
*301,consumer,"tüketici,müşteri"
302,debate,"tartısma,müzakere"
303,executive,"yönetici,idari,yürütme,yürütücü"
304,former,"eski,daha önceki"
*305,instution,"enstitü,kurum,kuruluş"
*306,intend,"niyet etmek,istemek"
307,major,"asıl,büyük,baslıca"
*308,obtain,"edinmek,elde etmek,almak"
*309,reduce,"kısmak,azaltmak,indirmek,düşürmek"
310,remain,"geriye kalmak,geriye kalan sey"
311,statement,"ifade,söz,beyan"
*312,punctual,dakik
*313,frustrate,"hayal kırıklıgına ugratmak,bosa cıkarmak"
314,checkout,"kasa,cıkıs,kontrol"
315,senior,üst düzey
316,aspect,"taraf,yön,açı"
317,impress,"hayran bırakmak,etkilemek"
318,recursion,
*319,even though,"rağmen,bile"
*320,inevitability,"kacınılmazlık,caresizlik"
*321,pledge,"söz,tahhaüt"
322,handy,"kullanıslı,becerikli,yatkın"
*323,incorporated,anonim şirket
324,sidebar,kenar cubugu
325,chock-a-block,"hıncahınc,tıklım tıklım"
*326,imaginative,"hayalperest,yaratıcı"
327,integrated,"entegre etmek,bütünleştirmek"
*328,template,"şablon,model"
*329,attune,"uyum sağlamak,ayak uydurmak"
330,jog,"hafif tempolu kosu,hafif dürtme"
331,concatenate,"birleştirmek,bağlamak,toplamak"
332,emphasis,"vurgu,önem"
333,wildly,cılgınca
*334,prompt,"talimat,harekete gecirmek,komut"
335,abstract,"özet,soyut"
*336,wise,"bilge,bilgili"
337,consist,"oluşmak,meydana gelmek"
*338,capture,"esir almak,ele gecirmek"
339,conversion,dönüşüm
340,extend,"genişletmek,uzatmak"
*341,brief,"kısa,özet"
342,confuse,kafa karısıklıgı
*343,enclose,"etrafını evirmek,etrafını kaplamak"
*344,whereas,"oysa,halbuki"
*345,primitive,ilkel
*346,wrap,sarmak
*347,implicit,"üstü kapalı,görünmeyen"
*348,typecast,kalıplasmıs
349,exponent,"üslü sayı,üs"
*350,priority,öncelik
351,evaluate,"değerlendirmek,ölçmek,tartmak"
352,involve,"kapsamak,içermek"
353,square,"meydan,kare"
354,term,
355,chop,"dogramak,kesmek"
356,accumulate,"biriktirmek,toplamak"
*357,slightly,"biraz,çok az,hafifce"
*358,precision,"kesinlik,hassasiyet"
359,crossroad,"kavsak,"
*360,overflow,"taşma,dolup taşmak"
*361,beyond,"ötede,ötesinde"
362,annoy,"rahatsız etmek,sinirlendirmek,kızdırmak"
*363,drain,"boşaltma,oluk,kanalizasyon"
364,remainder,"geriye kalan,kalan"
365,nested,"iç içe(computer),nest(yuva)"
*366,vacancy,"boş yer,boşluk"
367,apply,"uygulamak,basvurmak,müracaat etmek"
*368,summit,"zirve,tepe"
*369,ignorant,"cahil,bilgisiz"
370,engagement,"nişan,söz,baglilik"
*371,implement,"yerine getirmek,uygulamak,gerceklestirmek"
*372,eligible,hak sahibi
*373,companion,"refaketçi,rehber,arkadas,yoldas"
374,obvious,"ortada,bariz,besbelli"
375,pepperoni,sucuk dilimi
*376,tackle,"ele almak,mücadele etmek,ugrasmak"
377,afterwards,"sonradan,daha sonra,sonraları"
378,flip,atmak
*379,keen,"hevesli,istekli"
*380,trout,alabalık
*381,beast,"hayvan,canavar,yaratık"
382,bond,"bağ,senet,kefalet"
*383,consistently,"sürekli olarak,devamlı olarak"
*384,elaborate,"özenle hazırlanmıs,ayrıntılı"
385,trigger,tetik
*386,sanity,"akıl sağlıgı,akıllılık"
*387,unaligned,"hizaya sokulmamış,sıralanmamıs"
*388,wrangle,"çekişme,tartısma"
*389,horrendously,"aşırı bir bicimde,korkunc bir bicimde"
390,refine,"düzeltmek,geliştirmek,saflastırmak(refine etmek)"
*391,swallow,"kırlangıc,yutmak"
*392,initialize,başlatmak
*393,seed,"tohum,çekirdek"
394,demonstrate,"göstermek,kanıtlamak,acıklama yapmak"
*395,internal,"dahili,iç,içsel"
396,state,"hal,durum,devlet"
*397,alias,takma isim
*398,sample,"örnek,numune"
*399,core,"öz,ana,merkez"
*400,immensely,"son derece,cok fazla"
*401,peculiarity,"acayiplik,özellik,alışılmamıslık"
402,tend,eğilimli olmak
*403,inefficient,"yetersiz,verimsiz"
404,implement,"yerine getirmek,uygulamak"
405,mighty,"büyük,güçlü,fazlasıyla"
406,district,"semt,ilçe"
*407,frequently,"sık sık,cogunlukla"
*408,proxy,"vekil,gösterge,yetkili"
*409,untangle,"halletmek,çözmek"
410,passively,pasif
411,pear,armut
*412,replicate,"tekrarlamak,cogaltmak,kopyasını yapmak"
*413,revision,gözden gecirmek
414,association,"birlik,birliktelik"
415,conjuction,baglac
*416,internalize,"içsellestirmek,özümsemek"
*417,perseverance,"azim,dirayetlilik"
418,lobster,ıstakoz
419,bunch,salkım
*420,subsequent,daha sonraki
421,margin,"marj,kenar boslugu,kenar,sınır"
422,stuck,"mahsur,çıkmazda"
*423,invisible,"görünmez,fark edilmez"
*424,equivalent,"eş deger,karşılık,eşit"
425,indentation,"girinti,çentik,"
426,inefficient,"yetersiz,verimsiz"
427,unstable,"istikrarsız,dengesiz,kararsız"
428,bypass,"atlamak,ugramadan  gecmek"
*429,hurdle,"engel,sorun"
430,maze,labirent
431,eventually,"eninde sonunda,sonunda"
432,resort,"tatil yeri,çare"
*433,inaudible,duyulmaz
434,front,"cephe,ön cephe"
435,next to me,yanımda
436,remain,"geriye kalan,oldugu gibi kalmak,kalkmamak"
*437,grip,"kavramak,pence,tutus"
438,sensation,"his,heyecan,duygu"
439,unicode,evrensel kod
*440,inbuilt,"içsel,monte edilmiş"
*441,instantly,"hemen,anında"
*442,overlap,"örtüşmek,cakısmak"
*443,rectangle,dikdortgen
444,enclose,"etrafını cevirmek,kapatmak"
445,beneficial,"yararlı,faydalı"
*446,throughout,"bastan basa,her tarafına"
447,customize,"kişisellestirmek,özellestirmek"
*448,arbitrary,keyfi
*449,convention,gelenek
*450,outro,"final,kapanıs sahnesi"
*451,precious,"değerli,kıymetli"
*452,embody,"somutlastırmak,içermek,düzenlemek"
*453,strive,"uğrasmak,cabalamak,gayret etmek"
454,commercial,"ticari,reklam"
455,prompt,"talimat,harekete gecirmek"
*456,distractions,dikkat dagıtıcılar
*457,exhilarating,"canlandırıcı,neselendırıcı"
*458,intent,"maksat,niyet"
459,shagging,seks
460,nob,asil
*461,seduction,"bastan cıkarma,ayartı"
*462,delicately,"dikkatle,incelikle"
463,extract,
464,doggy,kopek
*465,confession,itiraf
*466,despise,"hor gormek,kucumsemek"
467,ought to,-meli/-malı
*468,bully,"zorba,kabadayı"
469,rubbish,"zırva,çöp,sacmalık"
470,decent,"iyi,düzgün"
*471,abandon,"terk etmek,bırakmak,vazgecmek"
472,silly,"sacma sapan,aptalca"
473,kink,
474,soundproof,ses gecirmez
475,innocent,masum
476,chase,takip etmek
*477,proposal,"öneri,teklif"
478,engage,
*479,insist,ısrar etmek
*480,underestimated,az deger bicilmiş
*481,kidnap,birini kacırmak
*482,reputation,"ün,şöhret,itibar"
483,thriller,gerilim
*484,fugitive,"firari,kacak"
485,onboard,
486,leak,sızıntı
487,lean,yaslanmak
488,laundry,"camasır,camasırhane"
489,disloyal,sadık değil
490,measures,miktar
491,port,liman
492,cab,taksi
493,sobering,ayılmak
494,dedicate,adamak
495,dedicated to,"bir sey icin adamak,bir seye adamak"
496,settle down,sakinlesmek
497,nipples,------
498,whose,kimin
*499,rid,kurtarmak
500,spank,saplak atmak
501,awkard,korkak
502,knot,düğüm
503,nudity,cıplaklık
*504,disaster,"facia,felaket"
505,exhausting,"yorgunluktan ölmek üzere,cok yorucu"
*506,redemption,"günahlardan arınma,kurtarma"
*507,occupate,"işgal etmek,mesgul etmek"
*508,fever,ates
*509,queried,"sorgulamak,sorgu"
*510,indefinitely,"süresiz,sonsuza kadar"
511,dizzy,bas donmesi
*512,doll,oyuncak bebek
*513,instigator,"kıskırtıcı,tahriş edici"
514,funeral,cenaze
515,instincts,
516,snob,züppe
*517,optimistic,iyimser
518,queue,sıra
519,nobsize,"bedensiz,bedeni yok"
520,enroll,kayıt olmak
521,outline,"taslak,ana hatlarıyla"
*522,imitation,"imitasyon,taklit,taklit etme"
523,content,içerik
*524,grasp,"kavramak,pence,kavrayıs"
525,flow,akıs
526,overall,"tam,tüm"
527,subject,özne
*528,sink,batmak
*529,proper,"uygun,dogru kullanım"
530,occur,"olus,meydana gelmek"
531,occurrence,"gerceklesme,olma"
532,nap,"sekerleme,kestirme"
*533,irritation,"tahris,rahatasızlık"
*534,nevertheless,yine de
*535,hence,dolayısıyla
*536,therefore,"bu yüzden,bu nedenle"
*537,furthermore,"üstelik,ayrıca"
538,beside,yanında
539,moreover,"dahası,daha fazlası"
540,likewise,aynı sekılde
541,additionally,ek olarak
542,afterwards,"sonradan,daha sonra"
543,coclusion,"sonuc,karar"
*544,consequently,"sonuc olarak,dolayısıyla"
*545,commitment,"bağlılık,taahhüt"
546,via,yoluyla
547,annocument,duyuru
*547,behalf,adına
548,predator,yırtıcı hayvan
549,competition,karsılasma
550,engage,
551,wizard,sihirbaz
552,slut,sürtük
*553,poetry,şiir
554,chime,çan sesi
555,script,"senaryo,yazı"
556,gambling,kumar
*557,conventional,geleneksel
*558,muse,ilham perisi
*559,accurately,"tam olarak,dogru olarak"
560,smoothly,"kolayca,puruzsuzce"
*561,abundantly,"bol miktarda,bol bol"
562,efforthlessly,kolayca
*563,intentionally,"kasten,kasıtlı olarak"
564,selectively,secerek
*565,inconsiderately,düşüncesizce
*566,unevenly,düzensiz bir sekilde
*567,conveniently,"uygun olarak,rahatlıkla"
568,ashamed,utanmıs
*569,destiny,"kader,alın yazısı"
570,ominous,uğursuz
*571,pensive,"dalgın,düşünceli"
572,aid,"yardım,yardım etmek"
573,first aid kit,ilk yardım kiti
574,pie,turta
575,upbeat,"neseli,iyimser"
*576,obligated,"yükümlü,mükellef"
*577,convince,"ikna etmek,inandırmak"
*578,expiration,"sona ermek,süre sonu"
*579,relief,"rahatlama,iç rahatlaması"
580,frequently,sık sık
581,occasioanlly,"ara sıra,nadiren"
*582,indulge,şımartmak
583,wary,"temkinli,tedbirli"
584,weary,"yorgun,yorucu"
585,vivid,canlı
586,luggage,bagaj
*587,immigration,"göç,göç etme"
588,humidity,nem
589,gather,toplamak
590,laughter,"kahkaha,gülmek"
591,encouragement,"teşvik etmek,cesaretlendirmek"
592,contribute,katkıda bulunmak
593,shift,"mesai,vardiya,nöbet"
594,viral,yaygın
595,content,içerik
596,collab,işbirliği
597,sense,"his,duyu,algı"
598,humuour,mizah
599,indicate,"işaret etmek,belirtmek,göstermek"
600,windowsill,"pervaz,pencere kenarı"
*601,attentive,"özenli,dikkatli,nazik"
*602,proximity,"yakınlık,mesafe"
*603,reveal,"meydana cıkarmak,ortaya cıkarmak"
604,vanish,"yok olmak,oratdan kaybolmak"
*605,measle,kızamık
606,mockinbird,alaycı kus
*607,assignment,"görevlendirme,görev"
*608,definition,"tanım,belirleme"
*609,aside,"ilave,bir kenara"
*610,loan,"ödünc para,kredi,borc"
*611,bare,acıga vurmak
612,bend,"viraj,eğmek,eğilmek"
613,bid,teklif etmek
*614,broadcast,"yayın,duyurmak"
615,led,
*616,eager,"istekli,sabırsız"
617,essay,"makale,deneme,yazı"
618,pollution,kirlilik
619,burglar,hırsız
*620,vowel,sesli harf
*621,recruitment,"işe alım,askere alma"
622,initiative,
623,purpose,amac
624,douchbag,aptal
*625,severe,"sert,şiddetli"
*626,unrest,"huzursuzluk,kargasa"
627,consequence,"netice,sonuc"
628,cache,önbellek
629,firewall,güvenlik duvarı
630,abort,
631,abbreviate,"kısaltmak,kırpmak"
632,adware,reklam yazılımı
633,administrator,"yönetici,idareci"
634,attribute,katkıda bulunmak
635,compress,sıkıştırmak
636,malware,kötü amaclı yazılım
637,patc,yama
638,redirect,yönlendirmek
639,spyware,casus yazılım
640,utility,"fayda,yarar"
641,sob,hıckırmak
642,leash,"et,deri"
643,muffin,kek
*644,keepsake,hatıra
645,griev,
646,pale,solgun
*647,snippets,bölük börçük bilgiler
648,placeholder,yer tutucu
*649,hangman,"cellat,adam asmaca"
650,submit,sunmak
*651,generate,"meydana getirmek,olusturmak"
*652,clutter,"yığın,darmadağın etmek,karmakarısık etmek,dagınıklık,karmasıklık"
*653,jug,sürahi
654,cough,öksürmek
655,throughly,
*656,pond,"gölet,havuz"
*657,grant,"hibe,bagıslamak,burs"
658,maternity,"annelik,doğum"
659,spicy,"baharatlı,acık sacık"
670,drowning,boğulma
*671,rumour,söylenti
672,plain,"ova,yalın,düz,sade,basit"
673,blouse,bluz
*674,retain,"sürdürmek,korumak,aklında tutmak,muhafaza etmek"
*675,venture,"girişim,tesebbus"
676,pill,"hap,ilac"
*677,sore,yara
*678,sustained,"uzun süreli,sürekli"
*679,disrepair,bakımsızlık
680,satisfactory,"tatmin edici,ikna edici"
*681,basis,"temel,dayanak,esas"
682,attempt,"deneme,girişim"
*683,phase,"aşama,evre"
*684,incorporate,"içermek,birlestirmek,dahil etmek"
*685,banner,"pankart,afiş"
686,deduct,düşmek
687,doom,"kıyamet,kader,bela"
688,frustrate,hayal kırıklıgına ugratmak
689,mush,
*690,repetition,"tekrar,tekrarlama"
691,untidy,"savruk,düzensiz"
692,tidy,"düzenli,derli toplu"
*693,wire,"kablo,tel"
694,threads,iş parcacıkları
695,absorb,"sönümlemek,içine almak"
696,readily,"kolaylıkla,seve seve"
697,patience,"sabır,tahammul"
698,adversity,"sıkıntı,zorluk"
699,imagination,"hayal gücü,hayal"
700,dogged,"azimli,inatcı"
*701,triumph,"zafer,basarı"
*702,shell,kabuk
703,claw,"pence,kıskac"
*704,jerk,"sarsmak,ahmak"
*705,fasten,"baglamak,iliklemek,takmak"
*706,resignation,istifa
*707,vertical,"dik,dikey"
708,heel,"topuk,taban"
*709,mud,camur
710,committee,"kurul,komisyon,komite"
*711,whatsoever,herhangi bir
712,guidance,"rehber,yönlendirme,yol gösterme"
*713,underneath,"altında,alt,özünde"
714,phase,"asama,evre"
*715,doom,"kıyamet,kader,bela"
716,frustrate,hayal kırıklıgına ugratmak
717,clutch,debriyaj
718,decrypt,şifeyi çözmek
719,encrypt,şifre olusturmak
720,encode,"şifrelemek,sifre olusturmak"
721,decode,"sifreyi cozmek,desifre etmek"
*722,recipient,"alıcı,alan"
723,encounter,"karsılasma,rastlantı"
724,judgement,yargı
*725,predetermined,önceden belirlenmis
*726,ensure,"sağlamak,emin olmak,temin etmek"
727,doable,yapılabilir
*728,repetitive,"tekrarlayıp duran,tekrarlı"
*729,auction,"müzayede,acık arttırma"
*730,wipe,silmek
731,criteria,kriter
*732,outstanding,"üstün,seckin"
*733,exceed,"sınırı asmak,asmak"
734,flexibility,esneklik
735,entry,"giriş,girdi"
736,accountability,sorumluluk
737,accountable,sorumlu
738,flex,esnek
739,sync,"eş zamanlamak,senkronize etmek"
*741,thorn,diken
*742,unpretentious,gösterişsiz
743,orphan,"öksüz,yetim,kimsesiz"
744,underneath,"altında,alt"
*745,armor,zırh
746,bittersweet,acı tatlı
*747,subpar,"ortalamanın altı,vasatın altı"
*748,par,vasat
*749,haunt,ugrak yer
*750,deceptively,aldatıcı bir bicimde
*751,likeable,"sempatik,sevimli"
752,non-fiction,kurgusal olmayan
753,fiction,kurgu
754,destiny,"kader,alın yazısı"
*755,whip,"kırbac,kırbaclamak"
*756,loo,tuvalet
*757,observation,"gözlem,gözetim,tespit"
758,accusation,"itham,suclama"
759,vanish,"kaybolmak,ortadan kaybolmak"
*760,scoff,"dalga gecmek,alay"
*761,stab,"saplamak,bıcaklamak"
*762,relapse,nüksetmek
*763,nightingale,bülbül
764,sneak,sinsi
*765,pry,"burnunu sokmak,gözetleme"
*766,sane,"aklı basında,mantıklı"
767,convince,"ikna etmek,inandırmak"
768,attaboy,afferin
769,spectaculary,ilgi cekici bir sekilde
770,shag,sevismek
*771,custody,gözaltı
*772,taunt,"alay etmek,dalga gecmek"
773,investment,"yatırım,para yatırma"
*774,greedy,acgozlu
*775,poke,dürtmek
*776,illusory,"hayali,aldatıcı,yanıltıcı"
777,blowjob,----
778,handjob,----
*779,ambush,"pusu,tuzak"
*780,notion,"düşünce,kavram,görüş"
781,despise,hor görmek
782,cycle,döngü
*783,souvenir,"hediyelik esya,yadigar,hatıra"
783,bycycle,bisiklet
784,motorcycle,motosiklet
*785,submarine,denizaltı
786,tie,"bağ,ilişki,bağlantı"
787,provide,"sağlamak,temin etmek"
*788,sophistication,karmaşıklık
*789,obstacle,engel
*790,deficient,"eksik,eksik kalan"
*791,immersion,dahil olmak
*792,underrestimate,hafife almak
793,intimidated,"tehtid edilmiş,tahrik etmek"
*794,attitude,"davranıs bicimi,yaklasım"
795,bold,"cesur,cesaretli"
796,immerse,"suya batırmak,sokmak,suya daldırmak"
797,internalize,"içsellestirmek,özümsemek"
798,privilege,"ayrıcalık,dokunulmazlık"
*799,neglect,"es gecmek,boslamak,ihmal etmek"
800,constructive,yapıcı
*801,fortunate,"şanslı,kısmetli"
802,expertise,uzman
*803,coherence,"alakalılık durumu,tutarlılık"
804,examiner,"incelemeci,sınayan kimse,muayene eden kimse"
*805,intonation,tonlama
*806,implicitly,dolaylı olarak
*807,explicitly,dogrudan
808,lower-middle,orta
809,hide and seek,saklambac
810,firetruck,itfaiye aracı
